id,company_name,establishment_name,ein,street_address,city,state,zip_code,naics_code,industry_description,annual_average_employees,total_hours_worked,no_injuries_illnesses,total_deaths,total_dafw_cases,total_djtr_cases,total_other_cases,total_dafw_days,total_djtr_days,total_injuries,total_poisonings,total_respiratory_conditions,total_skin_disorders,total_hearing_loss,total_other_illnesses,establishment_id,establishment_type,size,year_filing_for,created_timestamp,change_reason
1167159,Toyota Tsusho Corporation,"Deepwater Chemicals, Inc.",133853803.0,1210 Airpark Road,Woodward,OK,73801,325180, Iodides manufacturing ,31,65656,1,0,0,0,2,0,0,2,0,0,0,0,0,104804,1.0,2,2020,2/3/2021 20:59:26,
1167649,"Fedchem, Inc.",Fedchem Bethlehem,341129463.0,275 Keystone Drive,Bethlehem,PA,18020,325199, Organo-inorganic compound manufacturing ,31,54761,2,0,0,0,0,0,0,0,0,0,0,0,0,112767,1.0,2,2020,2/3/2021 22:21:41,
1168293,Nanophase Technologies Corporation,Nanophase Romeoville site,,1319 Marquette Drive,Romeoville,IL,60446,325180," Zinc compounds, not specified elsewhere by process, manufacturing ",65,149489,2,0,0,0,0,0,0,0,0,0,0,0,0,74901,1.0,2,2020,2/4/2021 13:17:23,
1168609,Kanto Corporation,Kanto Corporation,,13424 N Woodrush Way,Portland,OR,97203,325180, Ammonium hydroxide manufacturing ,74,148371,1,0,1,1,1,127,73,3,0,0,0,0,0,53381,1.0,2,2020,2/4/2021 17:38:02,resubmit due to misinterpreted data. Paul Gill
1168630,ShoreMet LLC,ShoreMet Valparaiso,272290557.0,3601 Enterprise Dr.,Valparaiso,IN,46386,325180," Copper compounds, not specified elsewhere by process, manufacturing ",30,56210,1,0,2,0,0,96,0,2,0,0,0,0,0,435941,1.0,2,2020,2/4/2021 14:44:07,
1169594,AdvanSix,Frankford PA89,852525089.0,2501 Margaret Street																	,Philadelphia 							,PA,19137,325199," Acetone, synthetic, manufacturing ",205,453894,1,0,0,0,1,0,0,1,0,0,0,0,0,216638,1.0,2,2020,2/4/2021 17:45:27,
1169602,AdvanSix,Hopewell VA12,812525089.0,905 East Randolph Road																	,Hopewell								,VA,23860,325199, Caprolactam manufacturing ,796,1933202,1,0,4,1,8,425,3,13,0,0,0,0,0,214187,1.0,3,2020,2/4/2021 17:46:25,
1169660,Pressure Chemical Co. ,Smallman Street,251142709.0,3419 Smallman Street,Pittsburgh,PA,15201,325199, Organo-inorganic compound manufacturing ,46,89972,1,0,1,0,0,2,9,1,0,0,0,0,0,115917,1.0,2,2020,2/4/2021 17:40:55,
1169924,PMC Group,PMC Organometallix,,2316 Highland Avenue,Carrollton,KY,41008,325199, Organo-inorganic compound manufacturing ,176,362124,1,0,2,1,1,28,74,4,0,0,0,0,0,474685,1.0,2,2020,2/4/2021 18:09:28,
1170347,Halocarbon Products Corporation,Halocarbon Products Corporation,221492756.0,1100 Dittman Court,North Augusta,SC,29841,325180, Hydrochloric acid manufacturing ,167,320102,1,0,1,0,4,46,180,5,0,0,0,0,0,365780,1.0,2,2020,2/4/2021 19:11:59,
1170563,Trademark Nitrogen,TradeMark Nitrogen Tampa,592268016.0,1216 Old Hopewell Road,Tampa,FL,33619,325311, Nitrogenous fertilizer materials manufacturing ,31,67920,1,0,0,0,1,0,0,1,0,0,0,0,0,156546,1.0,2,2020,2/4/2021 19:36:47,
1170633,Anuvia Plant City LLC,Anuvia Plant City LLC,843190829.0,660 E. County Line Road,Plant City,FL,33565,325311," Fertilizers, of animal waste origin, manufacturing ",69,92561,1,0,0,1,0,0,89,1,0,0,0,0,0,655460,1.0,2,2020,2/4/2021 19:47:37,
1170637,Solenis LLC,Solenis LLC,465612095.0,2301 Wilroy Road,Suffolk,VA,23434,325199, Organo-inorganic compound manufacturing ,95,188260,1,0,0,0,1,0,0,1,0,0,0,0,0,609166,1.0,2,2020,2/4/2021 19:59:06,"Confirmation email not received, changed email address, verified information, resubmitted."
1170795,Cabot Corporation,Cabot Pampa Facilities,42271897.0,10561 US Highway 60,Pampa,TX,79065,325180, Carbon black manufacturing ,120,285026,2,0,0,0,0,0,0,0,0,0,0,0,0,132017,1.0,2,2020,2/4/2021 20:08:21,
1172528,Harvey Fertilizer & Gas Co.,Kinston Fertilizer,561589945.0,1321 Hwy 258 N,Goldsboro,NC,28504,325311, Nitrogenous fertilizer materials manufacturing ,12,29636,2,0,0,0,0,0,0,0,0,0,0,0,0,129674,1.0,1,2020,2/4/2021 23:40:02,
1172848,Synalloy Corporation,Manufacturers Chemicals,621667469.0,4325 Old Tasso Rd NE,Cleveland,TN,37312,325199, Organo-inorganic compound manufacturing ,58,111831,1,0,0,2,0,0,10,2,0,0,0,0,0,670805,1.0,2,2020,2/5/2021 14:12:27,
1173082,,"Solvay Chemicals, Inc.",760287120.0,1130 Independence Parkway South,La Porte,TX,775719814,325180, Hydrogen peroxide manufacturing ,57,115066,1,0,0,1,0,0,15,1,0,0,0,0,0,148480,1.0,2,2020,2/5/2021 15:13:58,
1173215,Olin Chlor Alkali,Olin Corporation - Augusta Plant,131872319.0,2402 Doug Barnard Parkway,Augusta,GA,30906,325180," Bleaching agents, inorganic, manufacturing ",21,52094,2,0,0,0,0,0,0,0,0,0,0,0,0,181626,1.0,2,2020,2/5/2021 15:37:51,
1173236,Olin Chlor Alkali,"Pioneer Americas LLC, Henderson Plant",61420850.0,350 Fourth Street,Henderson,NV,89015,325180," Bleaching agents, inorganic, manufacturing ",16,36824,2,0,0,0,0,0,0,0,0,0,0,0,0,181713,1.0,1,2020,2/5/2021 15:40:59,
1173279,Olin Chlor Alkali,KA Steel - Lemont,362278512.0,15185 Main Street,Lemont,IL,60439,325180," Bleaching agents, inorganic, manufacturing ",26,52451,1,0,2,0,0,180,111,2,0,0,0,0,0,181834,1.0,2,2020,3/10/2021 18:36:05,"Typo in column K, employee was out for 180 days after March 1."
1173307,Olin Chlor Alkali,Olin Corporation - McIntosh Plant,131872319.0,1638 Industrial Road,McIntosh,AL,36553,325180," Bleaching agents, inorganic, manufacturing ",299,641417,1,0,0,0,2,0,0,0,0,2,0,0,0,182069,1.0,3,2020,2/5/2021 15:47:25,
1173316,Olin Chlor Alkali,Olin Corporation - Niagara Falls Operations,131872319.0,2400 Buffalo Avenue,Niagara Falls,NY,14302,325180," Chlorine compounds, not specified elsewhere by process, manufacturing ",197,420066,2,0,0,0,0,0,0,0,0,0,0,0,0,183875,1.0,2,2020,2/5/2021 15:49:48,
1173353,Olin Chlor Alkali,"Pioneer Americas LLC, St. Gabriel",61420850.0,4205 Highway 75,St. Gabriel,LA,70776,325180," Bleaching agents, inorganic, manufacturing ",114,348609,2,0,0,0,0,0,0,0,0,0,0,0,0,184028,1.0,2,2020,2/5/2021 15:57:34,
1173439,Olin Corporation,Blue Cube Freeport Operations,300781500.0,2301 Brazosport Blvd,Freeport,TX,77541,325180, Alkalies manufacturing ,1319,2984934,1,0,2,0,0,28,80,2,0,0,0,0,0,52782,1.0,3,2020,2/5/2021 16:16:11,
1173488,Olin Chlor Alkali,Blue Cube - Plaquemine Operations,300781500.0,21255 Highway 1 South,Plaquemine,LA,70764,325180," Chlorine compounds, not specified elsewhere by process, manufacturing ",212,440960,2,0,0,0,0,0,0,0,0,0,0,0,0,182339,1.0,2,2020,2/5/2021 16:24:08,
1173535,"Nouryon Functional Chemicals, LLC",Nouryon Functional Chemicals - Pasadena,364323571.0,12900 Bay Park Blvd,Pasadena,TX,77507,325199," Peroxides, organic, manufacturing ",93,188620,2,0,0,0,0,0,0,0,0,0,0,0,0,671039,1.0,2,2020,2/5/2021 16:35:30,
1173568,Stellar Manufacturing,Stellar Manufacturing,371769819.0,1647 Sauget Business Boulevard,Sauget,IL,62206,325180," Sodium inorganic compounds, not specified elsewhere by process, manufacturing ",160,273560,1,0,3,3,1,119,85,6,0,0,1,0,0,645890,1.0,2,2020,2/5/2021 16:42:30,
1173697,Genesis Energy,"Genesis Energy, TDC Corpus",800321477.0,3801 Buddy Lawrence Drive,Corpus Christi,TX,78408,325180,"Chemicals and Allied Products, Not Elsewhere Classified",3,9123,2,0,0,0,0,0,0,0,0,0,0,0,0,188044,1.0,1,2020,2/5/2021 16:59:02,
1173700,Genesis Energy,Genesis-Tulsa,800321477.0,PO Box 9516,Tulsa,OK,74157,325180,Chemicals and Allied Products,3,5506,2,0,0,0,0,0,0,0,0,0,0,0,0,188052,1.0,1,2020,2/5/2021 16:59:04,
1173703,Genesis Energy,GEL/TDC Westlake Refinery Services,800321477.0,2800 Old Spanish Trail,Westlake,LA,70669,325180,Chemical Manufacturing,16,29530,1,0,1,0,0,5,0,1,0,0,0,0,0,188056,1.0,1,2020,2/5/2021 16:59:06,
1173921,Olin Chlor Alkali,Olin Corporation - Santa Fe Springs Plant,61420850.0,11600 Pike Street,Santa Fe Springs,CA,90670,325180," Bleaching agents, inorganic, manufacturing ",13,26726,2,0,0,0,0,0,0,0,0,0,0,0,0,181761,1.0,1,2020,2/5/2021 17:27:38,
